PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0Vui2,rnb2r1k/pp1pnB1p/1q6/4P3/8/2P2Q2/PP4PP/RN3R1K b - - 2 15,b8c6 f3f6,813,78,87,143,mate mateIn1 oneMove opening,https://lichess.org/9bJohGw4/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Traditional_Variation
0XVo4,r3kb1r/2pq1ppp/p1n5/1p2P3/6b1/2NPBN2/PPP3PP/R2Q1RK1 b kq - 0 12,c6e5 f3e5 g4d1 e5d7,993,76,97,798,advantage hangingPiece opening short,https://lichess.org/93RDSuWs/black#24,Kings_Gambit Kings_Gambit_Other_variations
0Y4YI,rnb1k1nr/pp3p1p/3p3b/1NpP2q1/4Pp2/8/PPP1B1PR/R1BQ2K1 b kq - 1 13,g5d8 h2h6 g8h6 c1f4,1702,75,87,273,advantage capturingDefender opening short,https://lichess.org/bbc2gbBf/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Rosentreter_Gambit
0YBQs,rnbqk1nr/pppp1ppp/8/7Q/2B1Pp1b/6P1/PPPP3P/RNB1K1NR b KQkq - 0 5,g8f6 h5f7,950,78,91,87,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/gPxOgkNl/black#10,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0YN5y,r1bqk1nr/pppp3p/2nb4/6NQ/4Pp1P/8/PPPP2P1/RNB1K2R b KQ - 2 9,e8f8 h5f7,1009,78,81,231,mate mateIn1 oneMove opening,https://lichess.org/wzb2TQu6/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
0YkEx,rn2k1nr/ppp1qppp/8/3Bb3/4P1Q1/3P1K2/PPP5/RNB4R b kq - 2 12,g8f6 g4c8 e7d8 c8d8 e8d8 d5b7,2364,88,89,1441,crushing long opening,https://lichess.org/2MAH9oPN/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
0ZO45,rn1qk1nr/ppp2p1p/3pB3/2b5/4PQ2/8/PPPP2PP/RNB2R1K b kq - 0 9,f7e6 f4f7,1276,77,94,2946,mate mateIn1 oneMove opening,https://lichess.org/Z0u6GZJM/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Muzio_Gambit
0ZPmN,r1b1kb1r/1p3ppp/pqn5/3pP3/3P1p1P/5N2/PP4P1/RNBQ1RK1 b kq - 0 11,c6d4 f3d4 f8c5 f1f4,2054,76,96,263,advantage discoveredAttack opening short,https://lichess.org/L97TV2aE/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bonsch-Osmolovsky_Variation
0aZGL,2kr2nr/ppp2p1p/3p1q1b/3Bn1p1/3PPp2/2P3P1/PP3R1P/RNB2QK1 b - - 0 12,e5g4 f1h3 f6e7 h3g4,2039,75,92,1916,advantage opening pin short,https://lichess.org/wWe5Fn4N/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
0aeR1,r1bqk1nr/pppp2pp/5p2/2b1N3/2BnPP2/8/PPP3PP/RNBQK2R b KQkq - 0 6,f6e5 d1h5 g7g6 h5e5 d8e7 e5h8 e7e4 e1f1 d4c2 h8g8,1961,78,92,573,advantage fork opening pin veryLong,https://lichess.org/SltkNhqw/black#12,Kings_Gambit Kings_Gambit_Other_variations
0am04,rn1q1bnr/ppp1kBpp/8/3NNp2/3P1p2/8/PPP3PP/R1Bb1RK1 b - - 3 11,e7d6 c2c4 b8d7 c4c5 d7c5 d4c5,2306,133,0,11,advantage exposedKing long opening quietMove,https://lichess.org/PdarHNI1/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0b3kU,rnb1kb1r/ppp4p/4q1p1/4p3/3P4/2P2QP1/P1P3BP/R1B2RK1 b kq - 1 14,c8d7 f3b7 d7c6 g2c6 b8c6 b7a8,1791,74,88,224,crushing exposedKing long opening,https://lichess.org/eX5Efs6j/black#28,Kings_Gambit_Declined Kings_Gambit_Declined_Keenes_Defense
0blpX,rnbq1rk1/pppp1pb1/6n1/8/2BPPN2/8/PPP3P1/R1BQ1RK1 b - - 0 12,c7c6 f4g6 d7d5 g6f8,1754,76,88,635,advantage opening pin short,https://lichess.org/rYb4Tygj/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Rosentreter_Gambit
